lat,lon,k2,k3,k4,k5,k6
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7594227506,-122.419058868,0.0,0.0,1.0,1.0,1.0
37.7594227506,-122.419058868,0.0,0.0,1.0,1.0,1.0
37.7546172382,-122.418738266,0.0,0.0,1.0,1.0,1.0
37.796204621,-122.423682814,1.0,1.0,0.0,3.0,0.0
37.7878271137,-122.408384276,1.0,1.0,0.0,0.0,5.0
37.7878271137,-122.408384276,1.0,1.0,0.0,0.0,5.0
37.7878271137,-122.408384276,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7227270384,-122.436194485,0.0,0.0,3.0,4.0,3.0
37.7841847091,-122.418562097,1.0,1.0,0.0,3.0,0.0
37.7571005796,-122.417812559,0.0,0.0,1.0,1.0,1.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.7571005796,-122.417812559,0.0,0.0,1.0,1.0,1.0
37.7618358012,-122.419360353,0.0,0.0,1.0,1.0,1.0
37.7571005796,-122.417812559,0.0,0.0,1.0,1.0,1.0
37.7571005796,-122.417812559,0.0,0.0,1.0,1.0,1.0
37.7571005796,-122.417812559,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7570361132,-122.418904205,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.7635718956,-122.417332583,0.0,0.0,1.0,1.0,1.0
37.7603656932,-122.417028392,0.0,0.0,1.0,1.0,1.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.7620347867,-122.416078424,0.0,0.0,1.0,1.0,1.0
37.7481664084,-122.418221946,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.7572322279,-122.415629332,0.0,0.0,1.0,1.0,1.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.7571005796,-122.417812559,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7531779939,-122.403409085,0.0,0.0,1.0,1.0,1.0
37.788082534,-122.410059856,1.0,1.0,0.0,0.0,5.0
37.7650501215,-122.41967178,0.0,0.0,1.0,1.0,1.0
37.7586324052,-122.419052694,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7864094034,-122.408040475,1.0,1.0,0.0,0.0,5.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.7634954373,-122.418486297,0.0,0.0,1.0,1.0,1.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7652491154,-122.41638971,0.0,0.0,1.0,1.0,1.0
37.7874861572,-122.418368839,1.0,1.0,0.0,3.0,0.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.7870372044,-122.418274172,1.0,1.0,0.0,3.0,0.0
37.7549624154,-122.426635077,0.0,0.0,1.0,1.0,1.0
37.7635718956,-122.417332583,0.0,0.0,1.0,1.0,1.0
37.787359495,-122.408231026,1.0,1.0,0.0,0.0,5.0
37.7878718776,-122.411702003,1.0,1.0,0.0,3.0,0.0
37.7588312135,-122.415781282,0.0,0.0,1.0,1.0,1.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.787359495,-122.408231026,1.0,1.0,0.0,0.0,5.0
37.7590272974,-122.412502864,0.0,0.0,1.0,1.0,1.0
37.787359495,-122.408231026,1.0,1.0,0.0,0.0,5.0
37.7868262082,-122.419930112,1.0,1.0,0.0,3.0,0.0
37.787359495,-122.408231026,1.0,1.0,0.0,0.0,5.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.787359495,-122.408231026,1.0,1.0,0.0,0.0,5.0
37.787359495,-122.408231026,1.0,1.0,0.0,0.0,5.0
37.7882933915,-122.40840386,1.0,1.0,0.0,0.0,5.0
37.765181804,-122.417488324,0.0,0.0,1.0,1.0,1.0
37.7572322279,-122.415629332,0.0,0.0,1.0,1.0,1.0
37.7646048757,-122.405466576,0.0,0.0,1.0,1.0,1.0
37.7864094034,-122.408040475,1.0,1.0,0.0,0.0,5.0
37.7588312135,-122.415781282,0.0,0.0,1.0,1.0,1.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.7572322279,-122.415629332,0.0,0.0,1.0,1.0,1.0
37.7571005796,-122.417812559,0.0,0.0,1.0,1.0,1.0
37.760301234,-122.418120086,0.0,0.0,1.0,1.0,1.0
37.7629167767,-122.412173946,0.0,0.0,1.0,1.0,1.0
37.7650501215,-122.41967178,0.0,0.0,1.0,1.0,1.0
37.787359495,-122.408231026,1.0,1.0,0.0,0.0,5.0
37.7617009782,-122.411090795,0.0,0.0,1.0,1.0,1.0
37.787148808,-122.409876623,1.0,1.0,0.0,0.0,5.0
37.755504342,-122.41766064,0.0,0.0,1.0,1.0,1.0
37.7531779939,-122.403409085,0.0,0.0,1.0,1.0,1.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.7882933915,-122.40840386,1.0,1.0,0.0,0.0,5.0
37.760301234,-122.418120086,0.0,0.0,1.0,1.0,1.0
37.760301234,-122.418120086,0.0,0.0,1.0,1.0,1.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.7619029613,-122.418272166,0.0,0.0,1.0,1.0,1.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.7605000726,-122.414845139,0.0,0.0,1.0,1.0,1.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.755504342,-122.41766064,0.0,0.0,1.0,1.0,1.0
37.787359495,-122.408231026,1.0,1.0,0.0,0.0,5.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7571677817,-122.416720982,0.0,0.0,1.0,1.0,1.0
37.760301234,-122.418120086,0.0,0.0,1.0,1.0,1.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.7603656932,-122.417028392,0.0,0.0,1.0,1.0,1.0
37.7589178813,-122.415239912,0.0,0.0,1.0,1.0,1.0
37.7609899089,-122.412056242,0.0,0.0,1.0,1.0,1.0
37.7579459515,-122.416863556,0.0,0.0,1.0,1.0,1.0
37.7596123169,-122.415921585,0.0,0.0,1.0,1.0,1.0
37.7677177521,-122.415605496,0.0,0.0,1.0,1.0,1.0
37.7878271137,-122.408384276,1.0,1.0,0.0,0.0,5.0
37.7254765726,-122.463079076,0.0,2.0,3.0,4.0,4.0
37.7603888134,-122.417577215,0.0,0.0,1.0,1.0,1.0
37.7612142237,-122.416070933,0.0,0.0,1.0,1.0,1.0
37.7570790191,-122.417260521,0.0,0.0,1.0,1.0,1.0
37.7242085323,-122.460301751,0.0,2.0,3.0,4.0,4.0
37.7432215533,-122.473030392,0.0,2.0,2.0,2.0,2.0
37.7588083436,-122.415229421,0.0,0.0,1.0,1.0,1.0
37.7589402059,-122.413045094,0.0,0.0,1.0,1.0,1.0
37.7580118295,-122.415770264,0.0,0.0,1.0,1.0,1.0
37.7622630617,-122.412179604,0.0,0.0,1.0,1.0,1.0
37.7639259195,-122.405468776,0.0,0.0,1.0,1.0,1.0
37.7425626183,-122.488025948,0.0,2.0,2.0,2.0,2.0
37.7882184508,-122.418445946,1.0,1.0,0.0,3.0,0.0
37.7578884408,-122.417817853,0.0,0.0,1.0,1.0,1.0
37.7627583408,-122.41718521,0.0,0.0,1.0,1.0,1.0
37.7596123169,-122.415921585,0.0,0.0,1.0,1.0,1.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7754207067,-122.403404791,1.0,1.0,0.0,0.0,5.0
37.7895016292,-122.41027135,1.0,1.0,0.0,0.0,5.0
37.7246926894,-122.459564595,0.0,2.0,3.0,4.0,4.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.783695227,-122.410791678,1.0,1.0,0.0,0.0,5.0
37.7648181686,-122.469655723,0.0,2.0,2.0,2.0,2.0
37.7555244882,-122.418208517,0.0,0.0,1.0,1.0,1.0
37.7648250318,-122.412422725,0.0,0.0,1.0,1.0,1.0
37.7607866652,-122.498974694,0.0,2.0,2.0,2.0,2.0
37.7594801326,-122.418108926,0.0,0.0,1.0,1.0,1.0
37.7594884557,-122.417970955,0.0,0.0,1.0,1.0,1.0
37.7594884557,-122.417970955,0.0,0.0,1.0,1.0,1.0
37.7163046735,-122.440593032,0.0,2.0,3.0,4.0,4.0
37.7913046529,-122.400180244,1.0,1.0,0.0,0.0,5.0
37.790463178,-122.405941469,1.0,1.0,0.0,0.0,5.0
37.7965510481,-122.405283981,1.0,1.0,0.0,0.0,5.0
37.7258401277,-122.402780926,0.0,0.0,1.0,1.0,3.0
37.793524904,-122.405396537,1.0,1.0,0.0,0.0,5.0
37.7755496262,-122.502148729,0.0,2.0,2.0,2.0,2.0
37.7108555178,-122.404079634,0.0,0.0,1.0,1.0,3.0
37.7611477648,-122.417169895,0.0,0.0,1.0,1.0,1.0
37.794611818,-122.403994863,1.0,1.0,0.0,0.0,5.0
37.7584203037,-122.418963082,0.0,0.0,1.0,1.0,1.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7556559649,-122.416025191,0.0,0.0,1.0,1.0,1.0
37.7912255174,-122.404195425,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7594884557,-122.417970955,0.0,0.0,1.0,1.0,1.0
37.7878271137,-122.408384276,1.0,1.0,0.0,0.0,5.0
